professional_id,cluster,cluster_name
5,1,Cluster 1 — Steady Providers
6,1,Cluster 1 — Steady Providers
7,0,Cluster 0 — High Performers
8,1,Cluster 1 — Steady Providers
9,1,Cluster 1 — Steady Providers
11,1,Cluster 1 — Steady Providers
12,1,Cluster 1 — Steady Providers
16,1,Cluster 1 — Steady Providers
17,1,Cluster 1 — Steady Providers
18,1,Cluster 1 — Steady Providers
20,1,Cluster 1 — Steady Providers
22,1,Cluster 1 — Steady Providers
23,1,Cluster 1 — Steady Providers
25,1,Cluster 1 — Steady Providers
26,0,Cluster 0 — High Performers
30,1,Cluster 1 — Steady Providers
31,1,Cluster 1 — Steady Providers
32,1,Cluster 1 — Steady Providers
34,1,Cluster 1 — Steady Providers
36,0,Cluster 0 — High Performers
37,1,Cluster 1 — Steady Providers
39,0,Cluster 0 — High Performers
40,0,Cluster 0 — High Performers
42,1,Cluster 1 — Steady Providers
43,1,Cluster 1 — Steady Providers
45,2,Cluster 2 — Low/Inactive Providers
46,1,Cluster 1 — Steady Providers
48,1,Cluster 1 — Steady Providers
49,1,Cluster 1 — Steady Providers
50,1,Cluster 1 — Steady Providers
51,1,Cluster 1 — Steady Providers
52,0,Cluster 0 — High Performers
54,1,Cluster 1 — Steady Providers
55,1,Cluster 1 — Steady Providers
56,1,Cluster 1 — Steady Providers
57,1,Cluster 1 — Steady Providers
58,1,Cluster 1 — Steady Providers
59,1,Cluster 1 — Steady Providers
61,1,Cluster 1 — Steady Providers
62,1,Cluster 1 — Steady Providers
63,1,Cluster 1 — Steady Providers
64,1,Cluster 1 — Steady Providers
65,0,Cluster 0 — High Performers
66,1,Cluster 1 — Steady Providers
69,1,Cluster 1 — Steady Providers
70,1,Cluster 1 — Steady Providers
71,1,Cluster 1 — Steady Providers
72,2,Cluster 2 — Low/Inactive Providers
74,0,Cluster 0 — High Performers
75,1,Cluster 1 — Steady Providers
77,1,Cluster 1 — Steady Providers
79,0,Cluster 0 — High Performers
80,1,Cluster 1 — Steady Providers
82,1,Cluster 1 — Steady Providers
83,0,Cluster 0 — High Performers
84,1,Cluster 1 — Steady Providers
85,1,Cluster 1 — Steady Providers
86,1,Cluster 1 — Steady Providers
87,1,Cluster 1 — Steady Providers
88,1,Cluster 1 — Steady Providers
89,1,Cluster 1 — Steady Providers
90,1,Cluster 1 — Steady Providers
91,1,Cluster 1 — Steady Providers
92,1,Cluster 1 — Steady Providers
93,1,Cluster 1 — Steady Providers
94,1,Cluster 1 — Steady Providers
99,0,Cluster 0 — High Performers
100,1,Cluster 1 — Steady Providers
101,2,Cluster 2 — Low/Inactive Providers
103,1,Cluster 1 — Steady Providers
105,1,Cluster 1 — Steady Providers
107,1,Cluster 1 — Steady Providers
108,1,Cluster 1 — Steady Providers
109,0,Cluster 0 — High Performers
110,2,Cluster 2 — Low/Inactive Providers
111,0,Cluster 0 — High Performers
114,1,Cluster 1 — Steady Providers
115,0,Cluster 0 — High Performers
116,1,Cluster 1 — Steady Providers
119,1,Cluster 1 — Steady Providers
120,1,Cluster 1 — Steady Providers
121,1,Cluster 1 — Steady Providers
127,1,Cluster 1 — Steady Providers
129,1,Cluster 1 — Steady Providers
130,1,Cluster 1 — Steady Providers
132,1,Cluster 1 — Steady Providers
133,1,Cluster 1 — Steady Providers
134,2,Cluster 2 — Low/Inactive Providers
136,1,Cluster 1 — Steady Providers
137,1,Cluster 1 — Steady Providers
138,1,Cluster 1 — Steady Providers
139,1,Cluster 1 — Steady Providers
141,1,Cluster 1 — Steady Providers
142,1,Cluster 1 — Steady Providers
145,0,Cluster 0 — High Performers
146,1,Cluster 1 — Steady Providers
147,1,Cluster 1 — Steady Providers
148,1,Cluster 1 — Steady Providers
149,1,Cluster 1 — Steady Providers
150,1,Cluster 1 — Steady Providers
152,1,Cluster 1 — Steady Providers
156,1,Cluster 1 — Steady Providers
157,1,Cluster 1 — Steady Providers
158,1,Cluster 1 — Steady Providers
161,1,Cluster 1 — Steady Providers
162,1,Cluster 1 — Steady Providers
164,0,Cluster 0 — High Performers
166,1,Cluster 1 — Steady Providers
167,1,Cluster 1 — Steady Providers
168,1,Cluster 1 — Steady Providers
169,1,Cluster 1 — Steady Providers
170,1,Cluster 1 — Steady Providers
173,2,Cluster 2 — Low/Inactive Providers
177,1,Cluster 1 — Steady Providers
178,1,Cluster 1 — Steady Providers
183,0,Cluster 0 — High Performers
184,1,Cluster 1 — Steady Providers
185,1,Cluster 1 — Steady Providers
186,2,Cluster 2 — Low/Inactive Providers
187,1,Cluster 1 — Steady Providers
188,1,Cluster 1 — Steady Providers
190,1,Cluster 1 — Steady Providers
191,1,Cluster 1 — Steady Providers
192,1,Cluster 1 — Steady Providers
193,1,Cluster 1 — Steady Providers
194,1,Cluster 1 — Steady Providers
195,1,Cluster 1 — Steady Providers
196,0,Cluster 0 — High Performers
197,1,Cluster 1 — Steady Providers
198,1,Cluster 1 — Steady Providers
199,1,Cluster 1 — Steady Providers
200,1,Cluster 1 — Steady Providers
201,1,Cluster 1 — Steady Providers
202,1,Cluster 1 — Steady Providers
204,1,Cluster 1 — Steady Providers
205,1,Cluster 1 — Steady Providers
206,1,Cluster 1 — Steady Providers
207,1,Cluster 1 — Steady Providers
208,1,Cluster 1 — Steady Providers
210,0,Cluster 0 — High Performers
211,1,Cluster 1 — Steady Providers
213,1,Cluster 1 — Steady Providers
214,1,Cluster 1 — Steady Providers
215,0,Cluster 0 — High Performers
217,1,Cluster 1 — Steady Providers
218,1,Cluster 1 — Steady Providers
220,1,Cluster 1 — Steady Providers
222,1,Cluster 1 — Steady Providers
223,1,Cluster 1 — Steady Providers
224,1,Cluster 1 — Steady Providers
225,1,Cluster 1 — Steady Providers
226,1,Cluster 1 — Steady Providers
227,1,Cluster 1 — Steady Providers
228,1,Cluster 1 — Steady Providers
229,1,Cluster 1 — Steady Providers
231,1,Cluster 1 — Steady Providers
232,1,Cluster 1 — Steady Providers
234,1,Cluster 1 — Steady Providers
237,2,Cluster 2 — Low/Inactive Providers
241,1,Cluster 1 — Steady Providers
242,1,Cluster 1 — Steady Providers
244,1,Cluster 1 — Steady Providers
247,1,Cluster 1 — Steady Providers
249,0,Cluster 0 — High Performers
251,0,Cluster 0 — High Performers
253,1,Cluster 1 — Steady Providers
256,1,Cluster 1 — Steady Providers
258,1,Cluster 1 — Steady Providers
264,0,Cluster 0 — High Performers
265,1,Cluster 1 — Steady Providers
266,1,Cluster 1 — Steady Providers
267,1,Cluster 1 — Steady Providers
268,1,Cluster 1 — Steady Providers
270,0,Cluster 0 — High Performers
271,1,Cluster 1 — Steady Providers
272,2,Cluster 2 — Low/Inactive Providers
273,2,Cluster 2 — Low/Inactive Providers
275,1,Cluster 1 — Steady Providers
278,2,Cluster 2 — Low/Inactive Providers
279,0,Cluster 0 — High Performers
281,1,Cluster 1 — Steady Providers
282,1,Cluster 1 — Steady Providers
285,1,Cluster 1 — Steady Providers
286,1,Cluster 1 — Steady Providers
292,1,Cluster 1 — Steady Providers
298,0,Cluster 0 — High Performers
302,0,Cluster 0 — High Performers
306,1,Cluster 1 — Steady Providers
307,1,Cluster 1 — Steady Providers
308,1,Cluster 1 — Steady Providers
313,1,Cluster 1 — Steady Providers
314,1,Cluster 1 — Steady Providers
315,1,Cluster 1 — Steady Providers
317,1,Cluster 1 — Steady Providers
318,1,Cluster 1 — Steady Providers
321,0,Cluster 0 — High Performers
322,0,Cluster 0 — High Performers
325,1,Cluster 1 — Steady Providers
328,1,Cluster 1 — Steady Providers
330,1,Cluster 1 — Steady Providers
333,1,Cluster 1 — Steady Providers
334,1,Cluster 1 — Steady Providers
339,1,Cluster 1 — Steady Providers
341,2,Cluster 2 — Low/Inactive Providers
342,1,Cluster 1 — Steady Providers
345,1,Cluster 1 — Steady Providers
346,2,Cluster 2 — Low/Inactive Providers
347,1,Cluster 1 — Steady Providers
348,0,Cluster 0 — High Performers
349,1,Cluster 1 — Steady Providers
350,1,Cluster 1 — Steady Providers
351,2,Cluster 2 — Low/Inactive Providers
352,1,Cluster 1 — Steady Providers
353,1,Cluster 1 — Steady Providers
356,1,Cluster 1 — Steady Providers
359,1,Cluster 1 — Steady Providers
360,1,Cluster 1 — Steady Providers
361,1,Cluster 1 — Steady Providers
363,1,Cluster 1 — Steady Providers
364,1,Cluster 1 — Steady Providers
366,1,Cluster 1 — Steady Providers
367,1,Cluster 1 — Steady Providers
369,1,Cluster 1 — Steady Providers
370,1,Cluster 1 — Steady Providers
372,1,Cluster 1 — Steady Providers
373,2,Cluster 2 — Low/Inactive Providers
374,0,Cluster 0 — High Performers
375,1,Cluster 1 — Steady Providers
377,1,Cluster 1 — Steady Providers
378,0,Cluster 0 — High Performers
382,1,Cluster 1 — Steady Providers
383,1,Cluster 1 — Steady Providers
384,1,Cluster 1 — Steady Providers
386,1,Cluster 1 — Steady Providers
387,1,Cluster 1 — Steady Providers
389,1,Cluster 1 — Steady Providers
391,1,Cluster 1 — Steady Providers
392,0,Cluster 0 — High Performers
395,1,Cluster 1 — Steady Providers
400,1,Cluster 1 — Steady Providers
402,1,Cluster 1 — Steady Providers
409,1,Cluster 1 — Steady Providers
410,1,Cluster 1 — Steady Providers
411,1,Cluster 1 — Steady Providers
413,1,Cluster 1 — Steady Providers
418,1,Cluster 1 — Steady Providers
420,1,Cluster 1 — Steady Providers
421,2,Cluster 2 — Low/Inactive Providers
426,1,Cluster 1 — Steady Providers
428,1,Cluster 1 — Steady Providers
429,1,Cluster 1 — Steady Providers
433,1,Cluster 1 — Steady Providers
434,1,Cluster 1 — Steady Providers
436,0,Cluster 0 — High Performers
437,1,Cluster 1 — Steady Providers
440,0,Cluster 0 — High Performers
444,1,Cluster 1 — Steady Providers
445,1,Cluster 1 — Steady Providers
447,1,Cluster 1 — Steady Providers
448,1,Cluster 1 — Steady Providers
451,1,Cluster 1 — Steady Providers
453,2,Cluster 2 — Low/Inactive Providers
455,1,Cluster 1 — Steady Providers
460,1,Cluster 1 — Steady Providers
461,2,Cluster 2 — Low/Inactive Providers
462,2,Cluster 2 — Low/Inactive Providers
463,0,Cluster 0 — High Performers
464,1,Cluster 1 — Steady Providers
465,1,Cluster 1 — Steady Providers
466,1,Cluster 1 — Steady Providers
467,0,Cluster 0 — High Performers
468,1,Cluster 1 — Steady Providers
469,0,Cluster 0 — High Performers
470,2,Cluster 2 — Low/Inactive Providers
471,1,Cluster 1 — Steady Providers
473,1,Cluster 1 — Steady Providers
474,1,Cluster 1 — Steady Providers
476,1,Cluster 1 — Steady Providers
478,1,Cluster 1 — Steady Providers
480,1,Cluster 1 — Steady Providers
482,1,Cluster 1 — Steady Providers
484,0,Cluster 0 — High Performers
485,2,Cluster 2 — Low/Inactive Providers
489,1,Cluster 1 — Steady Providers
492,1,Cluster 1 — Steady Providers
493,1,Cluster 1 — Steady Providers
494,1,Cluster 1 — Steady Providers
495,0,Cluster 0 — High Performers
496,1,Cluster 1 — Steady Providers
497,1,Cluster 1 — Steady Providers
501,1,Cluster 1 — Steady Providers
502,1,Cluster 1 — Steady Providers
504,1,Cluster 1 — Steady Providers
506,1,Cluster 1 — Steady Providers
507,1,Cluster 1 — Steady Providers
508,1,Cluster 1 — Steady Providers
511,2,Cluster 2 — Low/Inactive Providers
514,1,Cluster 1 — Steady Providers
515,1,Cluster 1 — Steady Providers
517,1,Cluster 1 — Steady Providers
518,0,Cluster 0 — High Performers
519,1,Cluster 1 — Steady Providers
522,2,Cluster 2 — Low/Inactive Providers
525,1,Cluster 1 — Steady Providers
526,0,Cluster 0 — High Performers
528,1,Cluster 1 — Steady Providers
530,1,Cluster 1 — Steady Providers
531,1,Cluster 1 — Steady Providers
532,1,Cluster 1 — Steady Providers
533,1,Cluster 1 — Steady Providers
534,1,Cluster 1 — Steady Providers
535,1,Cluster 1 — Steady Providers
536,1,Cluster 1 — Steady Providers
538,0,Cluster 0 — High Performers
539,1,Cluster 1 — Steady Providers
540,1,Cluster 1 — Steady Providers
541,0,Cluster 0 — High Performers
542,1,Cluster 1 — Steady Providers
